abbrev,smi
TG(60:13),C(OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)[C@]([H])(OC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O
CE(20:3),C(/C/C=C\C/C=C\CCCCC)=C/CCCCCCC(O[C@@H]1CC2=CC[C@@]3([H])[C@]4([H])CC[C@]([H])([C@]([H])(C)CCCC(C)C)[C@@]4(C)CC[C@]3([H])[C@@]2(C)CC1)=O
CE(20:4),C(/C/C=C\C/C=C\CCCCC)=C/C/C=C\CCCC(O[C@@H]1CC2=CC[C@@]3([H])[C@]4([H])CC[C@]([H])([C@]([H])(C)CCCC(C)C)[C@@]4(C)CC[C@]3([H])[C@@]2(C)CC1)=O
CE(20:5),C(/C/C=C\C/C=C\C/C=C\CC)=C/C/C=C\CCCC(O[C@@H]1CC2=CC[C@@]3([H])[C@]4([H])CC[C@]([H])([C@]([H])(C)CCCC(C)C)[C@@]4(C)CC[C@]3([H])[C@@]2(C)CC1)=O
CE(22:6),C(=C/C/C=C\C/C=C\C/C=C\C/C=C\CC)/C/C=C\CCC(O[C@@H]1CC2=CC[C@@]3([H])[C@]4([H])CC[C@]([H])([C@]([H])(C)CCCC(C)C)[C@@]4(C)CC[C@]3([H])[C@@]2(C)CC1)=O
PC(17:0_0:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(O)COC(CCCCCCCCCCCCCCCC)=O
PC(17:0_18:1)_A,[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCCCC)=O
PC(22:6_0:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(O)COC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O
PC(O-16:0_0:0);PC(O-8:0_O-8:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(O)COCCCCCCCCCCCCCCCC
PC(O-16:0_18:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COCCCCCCCCCCCCCCCC
PC(O-16:0_18:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COCCCCCCCCCCCCCCCC
PC(O-16:0_20:3),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COCCCCCCCCCCCCCCCC
PC(O-16:0_20:4),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC)=O)COCCCCCCCCCCCCCCCC
PC(O-16:0_22:4),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)COCCCCCCCCCCCCCCCC
PC(O-18:0_0:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(O)COCCCCCCCCCCCCCCCCCC
PC(O-18:0_18:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COCCCCCCCCCCCCCCCCCC
PC(O-18:0_20:3),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COCCCCCCCCCCCCCCCCCC
PC(O-18:0_20:4),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC)=O)COCCCCCCCCCCCCCCCCCC
PC(O-18:0_22:5),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)COCCCCCCCCCCCCCCCCCC
PC(O-18:0_22:6),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O)COCCCCCCCCCCCCCCCCCC
PC(O-18:1_0:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(O)COCCCCCCCCCC/C=C\CCCCCC
PC(O-18:1_18:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COCCCCCCCC/C=C\CCCCCCCC
PC(O-18:1_20:4),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)COCCCCCCCC/C=C\CCCCCCCC
PC(O-20:0_20:4),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC)=O)COCCCCCCCCCCCCCCCCCCCC
PC(P-16:0_16:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCCC)=O)CO/C=C\CCCCCCCCCCCCCC
PC(P-16:0_18:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)CO/C=C\CCCCCCCCCCCCCC
PC(P-16:0_20:4),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)CO/C=C\CCCCCCCCCCCCCC
PC(P-16:0_20:5),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O)CO/C=C\CCCCCCCCCCCCCC
PC(P-16:0_22:6),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O)CO/C=C\CCCCCCCCCCCCCC
PC(P-18:0_20:4),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)CO/C=C\CCCCCCCCCCCCCCCC
PC(P-18:0_22:6),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC)=O)CO/C=C\CCCCCCCCCCCCCCCC
PE(P-16:0_20:4),[C@](COP(=O)(O)OCCN)([H])(OC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)CO/C=C\CCCCCCCCCCCCCC
PE(P-16:0_20:5),[C@](COP(=O)(O)OCCN)([H])(OC(CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O)CO/C=C\CCCCCCCCCCCCCC
PE(P-18:0_18:1),[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)CO/C=C\CCCCCCCCCCCCCCCC
PE(P-18:0_18:2),[C@](COP(=O)(O)OCCN)([H])(OC(CCCCC/C=C\C/C=C\CCCCCCC)=O)CO/C=C\CCCCCCCCCCCCCCCC
PE(P-18:0_20:5),[C@](COP(=O)(O)OCCN)([H])(OC(CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O)CO/C=C\CCCCCCCCCCCCCCCC
PE(P-18:0_22:6),[C@](COP(=O)(O)OCCN)([H])(OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O)CO/C=C\CCCCCCCCCCCCCCCC
PE(P-18:1_22:6),[C@](COP(=O)(O)OCCN)([H])(OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O)CO/C=C\CCCCCC/C=C\CCCCCCCC
PE(P-34:1),[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)CO/C=C\CCCCCCCCCCCCCC
PI(18:1_18:2)_A,[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)(COP(=O)(O)O[C@@H]1C(O)[C@H](O)C(O)C(O)C1O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O
SM(d16:1_16:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC
SM(d16:1_22:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC
SM(d16:1_24:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCC/C=C\CCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC
SM(d18:1_16:0)_A,[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C\CCCCCCCCCCCCC
SM(d18:1_18:0);SM(d16:1_20:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC
SM(d18:1_22:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC
SM(d18:1_23:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC
SM(d18:2_14:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCC/C=C\CCC
SM(d18:2_16:0)_A,[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCC/C=C\CCCC
SM(d18:2_16:0)_B,[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCC/C=C\CCC
SM(d18:2_18:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCC/C=C\CCC
SM(d18:2_18:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCC/C=C\CCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCC/C=C\CCC
SM(d18:2_20:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCC/C=C\CCC
SM(d18:2_22:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCC/C=C\CCCCC
SM(d19:1_18:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCCC
TG(52:5),C(OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O
TG(52:6),C(OC(=O)CCCCCCCC/C=C\C/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCC)=O
TG(53:1),C(OC(=O)CCCCCCC/C=C\CCCCCCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCCC)=O
TG(54:3),C(OC(=O)CCCCCCCCCCCCCCCCCC)[C@]([H])(OC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCCC)=O
TG(55:3),C(OC(=O)CCCCCCC/C=C\CCCCCCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O
TG(56:1),C(OC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)=O)COC(CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)=O
TG(56:2),C(OC(=O)CCCCCCCCCCCCCCCCCCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O
TG(56:3),C(OC(=O)CCCCCCCCC/C=C\CCCCCCCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O
TG(56:4),C(OC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCCC)=O)COC(CCCCCCCCCCCCCCCC)=O
TG(56:6),C(OC(=O)CCCCCCCCCCCCCCCCCCC)[C@]([H])(OC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O
TG(60:11),C(OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)[C@]([H])(OC(CCCCCCCCC/C=C\CCCCCCCC)=O)COC(CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)=O
TG(60:12),C(OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)[C@]([H])(OC(CCCCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O
